Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value,url,zoning
34.574381,-118.037508,38058 Lido Dr,Single Family Residence,"4 beds, 3 baths","1,979 sqft","7,036 sqft",1989.0,3023054044,1110738665,Los Angeles,45073,1.0,910713.0,45,PDA2*,09/16/2020,"$350,000","$334,000",https://www.realtytrac.com/property/ca/palmdale/93552/38058-lido-dr/16671462/,PDA2*
34.029588000000004,-118.34438,4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927.0,5057008024,1110724102,Los Angeles,5780,5.0,220000.0,623,LAR2,09/16/2020,"$888,000","$794,000",https://www.realtytrac.com/property/ca/los-angeles/90016/4711-w-29th-st/154636126/,LAR2
33.988015999999995,-117.984728,15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970.0,8290004038,1110725454,Los Angeles,29726,3.0,408503.0,10,LCRA1L,09/16/2020,"$890,000","$802,000",https://www.realtytrac.com/property/ca/hacienda-heights/91745/15362-del-prado-dr/49086164/,LCRA1L
33.879723,-118.06501499999999,16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973.0,7012006007,1110725503,Los Angeles,31077,1.0,554514.0,,CERM,09/16/2020,"$420,000","$428,000",https://www.realtytrac.com/property/ca/cerritos/90703/16622-shenandoah-ave/4419219/,CERM
34.051043,-118.254448,633 W 5th St,Office Building,,30.9 acres,1.17 acres,1988.0,5151017028,1110725507,Los Angeles,MOTT,1.0,207502.0,6,LAC5,09/16/2020,"$430,000,000",,https://www.realtytrac.com/property/ca/los-angeles/90071/633-w-5th-st/154657099/,LAC5
34.014427000000005,-117.869175,3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964.0,8722006029,1110726179,Los Angeles,27416,1.0,408136.0,280,WCR1*,09/16/2020,"$597,500","$574,000",https://www.realtytrac.com/property/ca/west-covina/91792/3505-s-flemington-dr/155000757/,WCR1*
34.011416,-118.414405,3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005.0,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1.0,702801.0,1,CCR4*,09/16/2020,"$1,275,000","$1,057,000",https://www.realtytrac.com/property/ca/culver-city/90232/3913-bentley-ave-4/146537486/,CCR4*
34.166037,-118.348804,921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941.0,2481003020,1110727511,Los Angeles,6259,1.0,311400.0,45,BUR2*,09/16/2020,"$775,000","$829,000",https://www.realtytrac.com/property/ca/burbank/91505/921-n-kenwood-st/154431994/,BUR2*
34.087306,-118.247804,1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930.0,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1.0,197300.0,10,LAR1,09/16/2020,"$868,000","$911,000",https://www.realtytrac.com/property/ca/los-angeles/90026/1421-ewing-st/45927064/,LAR1
34.171048,-118.385084,11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944.0,2350002041,1110728783,Los Angeles,11407,1.0,125200.0,28,LAR1,09/16/2020,"$800,000","$603,000",https://www.realtytrac.com/property/ca/north-hollywood/91601/11616-killion-st/148775631/,LAR1
34.171044,-118.326499,1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926.0,2447014004,1110728845,Los Angeles,5427,4.0,310800.0,4,BUR1YY,09/16/2020,"$850,000","$790,000",https://www.realtytrac.com/property/ca/burbank/91506/1809-w-clark-ave/154425671/,BUR1YY
33.864407,-118.17595700000001,1309 E 60th St,Single Family Residence,"3 beds, 3 baths","1,961 sqft","5,712 sqft",1971.0,7123001032,1110728852,Los Angeles,7846,4.0,570501.0,53,LBR1N,07/30/1999,,"$727,000",https://www.realtytrac.com/property/ca/long-beach/90805/1309-e-60th-st/154861510/,LBR1N
33.87508,-118.40009099999999,2904 Hermosa View Dr,Single Family Residence,"4 beds, 3 baths","3,400 sqft","7,029 sqft",1967.0,4169032019,1110729471,Los Angeles,28895,1.0,621001.0,11,HBR1YY,09/16/2020,"$3,999,000","$2,817,000",https://www.realtytrac.com/property/ca/hermosa-beach/90254/2904-hermosa-view-dr/143296565/,HBR1YY
34.149364,-118.02794499999999,904 N 1st Ave # A,Condominium,"3 beds, 3 baths","1,752 sqft",0.83 acres,1988.0,5772013049,1110730091,Los Angeles,45634,4.0,430400.0,1,ARR2*,09/16/2020,"$750,000","$734,000",https://www.realtytrac.com/property/ca/arcadia/91006/904-n-1st-ave-a/154649539/,ARR2*
34.612778000000006,-118.129601,40113 Cantara Dr,Condominium,"3 beds, 2 baths","1,327 sqft",5.96 acres,1998.0,3006025067,1110730741,Los Angeles,46925,1.0,910201.0,2,PDRPD18U,09/16/2020,"$295,000","$263,000",https://www.realtytrac.com/property/ca/palmdale/93550/40113-cantara-dr/26838984/,PDRPD18U
34.059683,-118.38016499999999,8653 W Olympic Blvd,"Triplex (3 units, any combination)","7 beds, 6 baths","4,937 sqft","6,316 sqft",1939.0,4333021001,1110731428,Los Angeles,8439,1.0,216402.0,1,LAR3,09/16/2020,"$2,396,000","$2,412,000",https://www.realtytrac.com/property/ca/los-angeles/90035/8653-w-olympic-blvd/30556173/,LAR3
34.038049,-118.47306299999998,1232 Stanford St # 3,Condominium,"2 beds, 3 baths","1,215 sqft","17,036 sqft",1974.0,4267004063,1110732002,Los Angeles,32232,1.0,701602.0,,SMR2*,09/16/2020,"$915,000","$1,063,000",https://www.realtytrac.com/property/ca/santa-monica/90404/1232-stanford-st-3/154546240/,SMR2*
34.255225,-118.417634,13067 Goleta St,Single Family Residence,"4 beds, 3 baths","1,906 sqft","7,500 sqft",1946.0,2623011004,1110732778,Los Angeles,6685,1.0,104620.0,28,LAR1,09/16/2020,"$565,000","$552,000",https://www.realtytrac.com/property/ca/pacoima/91331/13067-goleta-st/30621770/,LAR1
34.144434999999994,-118.022921,306 Joyce Ave,Single Family Residence,"3 beds, 2 baths","1,441 sqft","8,958 sqft",1947.0,5772029053,1110734109,Los Angeles,13560,1.0,430801.0,11,ARR1*,09/16/2020,"$890,000","$892,000",https://www.realtytrac.com/property/ca/arcadia/91006/306-joyce-ave/30421332/,ARR1*
34.043918,-118.301245,2059 Venice Blvd,Vacant Commercial,,,"5,501 sqft",1930.0,5075013016,1110734710,Los Angeles,5954,2.0,221210.0,2,LAC1,09/16/2020,"$2,500,000",,https://www.realtytrac.com/property/ca/los-angeles/90006/2059-venice-blvd/154640385/,LAC1
33.870278000000006,-118.370302,2303 Rockefeller Ln # A,Condominium,"3 beds, 3 baths","1,678 sqft","7,505 sqft",1975.0,4157011045,1110735422,Los Angeles,REDONDO VILLA TR,4.0,620601.0,1,RBR-3,09/16/2020,"$815,000","$752,000",https://www.realtytrac.com/property/ca/redondo-beach/90278/2303-rockefeller-ln-a/53423959/,RBR-3
34.045953999999995,-118.464119,1215 Armacost Ave # 203,Condominium,"2 beds, 2 baths","1,090 sqft","9,599 sqft",2007.0,4263005148,1110736719,Los Angeles,49641,1.0,267402.0,1,LAR3,09/16/2020,"$820,000","$854,000",https://www.realtytrac.com/property/ca/los-angeles/90025/1215-armacost-ave-203/155022107/,LAR3
34.092821,-118.367026,1234 Havenhurst Dr # 8,Condominium,"2 beds, 2 baths","1,007 sqft","14,919 sqft",1955.0,5554009036,1110736720,Los Angeles,37062,5.0,700200.0,1,WDR4*,09/16/2020,"$662,000","$777,000",https://www.realtytrac.com/property/ca/west-hollywood/90046/1234-havenhurst-dr-8/52170356/,WDR4*
34.4373,-118.5154,27629 Solana Way,Condominium,"4 beds, 4 baths","3,516 sqft",0.76 acres,2017.0,2801028091,1110736725,Los Angeles,,1.0,920028.0,1,SCUR3,09/16/2020,"$760,000","$757,000",https://www.realtytrac.com/property/ca/santa-clarita/91350/27629-solana-way/323430688/,SCUR3
34.172798,-118.60099699999999,21620 Burbank Blvd # 10,Condominium,"3 beds, 3 baths","1,595 sqft",2.74 acres,1981.0,2146007035,1110738650,Los Angeles,38707,1.0,137103.0,,LAWC,09/16/2020,"$580,000","$575,000",https://www.realtytrac.com/property/ca/woodland-hls/91367/21620-burbank-blvd-10/7102759/,LAWC
34.574381,-118.037508,38058 Lido Dr,Single Family Residence,"4 beds, 3 baths","1,979 sqft","7,036 sqft",1989.0,3023054044,1110738665,Los Angeles,45073,1.0,910713.0,45,PDA2*,09/16/2020,"$350,000","$334,000",https://www.realtytrac.com/property/ca/palmdale/93552/38058-lido-dr/16671462/,PDA2*
34.139302,-117.998731,150 E Cypress Ave,Single Family Residence,"4 beds, 3 baths","2,082 sqft","8,555 sqft",1948.0,8508012036,1110739957,Los Angeles,6697,3.0,431100.0,20,MORL*,02/28/2018,"$662,000","$812,000",https://www.realtytrac.com/property/ca/monrovia/91016/150-e-cypress-ave/34821766/,MORL*
33.870331,-118.176778,1221 E Poinsettia St,Single Family Residence,"2 beds, 1 bath","1,076 sqft","5,047 sqft",1929.0,7114023002,1110868248,Los Angeles,7261,3.0,570501.0,130,LBR1N,09/21/2020,"$515,000","$509,000",https://www.realtytrac.com/property/ca/long-beach/90805/1221-e-poinsettia-st/24866478/,LBR1N
