latitude,longitude,address,property_type,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school quality,url,bedrooms,bathrooms
33.974622,-118.133679,6224 Nye St,Condominium,1357.0,22215.600000000002,1988.0,6357012043,1111054477.0,Los Angeles,45351,1.0,532304.0,1,CMR3,2020-09-28,469000.0,439000.0,7,High,15,1,Average,https://www.realtytrac.com/property/ca/commerce/90040/6224-nye-st/54129244/,3.0,3.0
34.156562,-118.396891,4723 Laurel Canyon Blvd,Restaurant,2250.0,9799.0,1959.0,2356037034,1111055289.0,Los Angeles,7360,1.0,143400.0,10,LAC2,2020-09-28,1910000.0,,5,,6,1,Excellent,https://www.realtytrac.com/property/ca/valley-village/91607/4723-laurel-canyon-blvd/154414596/,,
34.677777,-118.45116499999999,18118 Elizabeth Lake Rd,Apartment house (5+ units),1454.0,13635.0,1948.0,3242015023,1111055911.0,Los Angeles,,2.0,920102.0,4,LCC4*,2020-09-28,325000.0,,0,,2,1,,https://www.realtytrac.com/property/ca/lake-hughes/93532/18118-elizabeth-lake-rd/251911403/,7.0,6.0
34.072959999999995,-118.066898,9259 Ramona Blvd,Single Family Residence,1682.0,7000.0,1978.0,8594027016,1111055994.0,Los Angeles,ROSEMEAD,2.0,432901.0,6,RMPOD*,2020-09-28,738000.0,752000.0,3,Moderate,11,1,Excellent,https://www.realtytrac.com/property/ca/rosemead/91770/9259-ramona-blvd/154986110/,3.0,2.0
33.777716,-118.154913,825 Obispo Ave,"Triplex (3 units, any combination)",1958.0,6754.0,1938.0,7258013016,1111056010.0,Los Angeles,1,2.0,576904.0,18,LBR2N,2020-09-28,1185000.0,989000.0,11,Slightly High,8,1,Average,https://www.realtytrac.com/property/ca/long-beach/90804/825-obispo-ave/44027788/,4.0,3.0
33.886322,-118.25131699999999,2201 W Reeve St,Single Family Residence,1180.0,6216.0,1950.0,6140031021,1111056659.0,Los Angeles,15981,7.0,543100.0,311,CORL*,2020-09-28,560000.0,537000.0,20,High,14,1,Poor,https://www.realtytrac.com/property/ca/compton/90220/2201-w-reeve-st/140044396/,3.0,1.0
34.191476,-118.371513,6642 Ensign Ave,Single Family Residence,1296.0,5843.0,1944.0,2319019018,1111056683.0,Los Angeles,13168,1.0,123206.0,5,LAR1,2020-09-28,715000.0,699000.0,15,Low,14,1,Average,https://www.realtytrac.com/property/ca/north-hollywood/91606/6642-ensign-ave/13931881/,3.0,2.0
34.155054,-118.23941299999998,622 Naranja Dr,"Quadplex (4 Units, Any Combination)",4764.0,6395.0,1930.0,5646016007,1111057331.0,Los Angeles,9258,2.0,301900.0,3,GLR4YY,2020-09-28,1475000.0,1474000.0,1,Low,4,1,Above Average,https://www.realtytrac.com/property/ca/glendale/91206/622-naranja-dr/143877681/,8.0,8.0
34.229076,-118.60128799999998,8726 Owensmouth Ave,Apartment house (5+ units),5568.0,9571.0,1962.0,2779041005,1111057978.0,Los Angeles,25316,3.0,113233.0,5,LAR3,2020-09-28,1480000.0,779000.0,2,,6,1,Average,https://www.realtytrac.com/property/ca/canoga-park/91304/8726-owensmouth-ave/154455515/,8.0,8.0
34.6867,-118.2375,Vac/oldfield St/vic 63rd Stw,Residential - Vacant Land,,6648.0,,3203064032,1111059374.0,Los Angeles,,4.0,920328.0,78,LRR1,2020-09-28,442000.0,,2,Moderate,2,2,Average,https://www.realtytrac.com/property/ca/lancaster/93536/vacoldfield-stvic-63rd-stw/251911299/,,
