latitude,longitude,home_size,lot_size,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,geometry,neighborhood,sale_price,sale_price_cpi,age
33.803187,-118.20101299999999,2079.0,6223.0,25,Slightly High,6,Average,2.0,2.0,POINT (-118.201013 33.803187),790.8073185403072,886.0022573334675,885.6138261063521,81.0
33.774155,-118.39709599999999,1780.0,12098.0,2,Very Low,2,Excellent,3.0,2.0,POINT (-118.397096 33.774155),1074.9481337266377,1238.9511693363868,1238.4080021840932,56.0
33.76664,-118.165351,948.0,3140.0,13,Slightly High,3,Average,2.0,1.0,POINT (-118.165351 33.76664),790.8073185403072,836.6600265340755,836.2932273774197,107.0
34.045562,-118.37916299999999,1972.0,5986.0,6,Slightly High,5,Average,3.0,2.0,POINT (-118.379163 34.045562),968.7807956560013,1284.523257866513,1283.960111507481,82.0
34.102075,-118.188208,1669.0,6398.0,8,Slightly High,4,Average,3.0,2.0,POINT (-118.188208 34.102075),790.718570230005,1040.1922899156675,1039.7362604143161,117.0
34.202211,-118.60998899999998,1308.0,6500.0,6,Very Low,6,Average,3.0,2.0,POINT (-118.609989 34.202211),754.6090648407142,800.6247560499238,800.2737550746132,66.0
34.110483,-117.792767,1212.0,7374.0,2,Low,6,Excellent,3.0,2.0,POINT (-117.792767 34.110483),831.6171620018712,866.0254037844386,865.6457305866327,56.0
33.82839,-118.113266,2227.0,5323.0,4,Slightly High,3,Above Average,5.0,5.0,POINT (-118.113266 33.82839),790.8073185403072,961.7692030835673,961.3475549572071,66.0
33.776312,-118.27309299999999,700.0,3213.0,13,Moderate,39,Average,1.0,1.0,POINT (-118.273093 33.776312),637.0314008491796,543.1390245600107,542.9009076070822,96.0
33.92957,-118.417952,1890.0,6414.0,3,Moderate,11,Excellent,3.0,2.0,POINT (-118.417952 33.92957),1034.0045358910402,1252.9964086141667,1252.447083904731,56.0
34.172466,-118.267297,2250.0,10228.0,2,Low,2,Above Average,3.0,2.0,POINT (-118.267297 34.172466),900.964697477965,1079.3516572461451,1078.8784599317557,69.0
33.924359,-118.37057800000001,1215.0,6864.0,2,Moderately High,10,Average,3.0,2.0,POINT (-118.370578 33.924359),791.4773097539816,836.6600265340755,836.2932273774197,79.0
34.010681,-117.89831399999998,1050.0,7023.0,5,Moderate,6,Average,3.0,2.0,POINT (-117.898314 34.010681),664.6059718581147,651.9202405202649,651.63443291999,60.0
34.172748999999996,-118.041048,491.0,2332.0,2,Very Low,3,Excellent,1.0,1.0,POINT (-118.041048 34.172749),933.6369071312419,659.545297913646,659.2561474207591,72.0
33.819345,-118.111024,1982.0,5329.0,5,Slightly High,5,Excellent,3.0,3.0,POINT (-118.111024 33.819345),790.8073185403072,904.1570660012562,903.760675545425,70.0
34.177372,-118.321175,1188.0,5400.0,4,Low,18,Above Average,3.0,1.0,POINT (-118.321175 34.177372),879.8952494473324,935.4143466934853,935.0042527692993,81.0
33.924074,-118.10773200000001,992.0,4193.0,7,Moderate,12,Average,3.0,1.0,POINT (-118.107732 33.924074),654.0646784135786,774.5966692414834,774.2570792096718,119.0
34.126676,-118.187855,1214.0,5624.0,13,Slightly High,4,Average,3.0,2.0,POINT (-118.187855 34.126676),800.2914144871164,827.6472678623425,827.2844199788144,110.0
34.092729,-117.921275,1170.0,5775.0,8,Moderate,5,Above Average,3.0,2.0,POINT (-117.921275 34.092729),656.3494869110713,670.820393249937,670.5262996555161,64.0
34.037877,-117.938725,1824.0,8599.0,11,Moderate,7,Average,4.0,3.0,POINT (-117.938725 34.037877),654.6610359028135,768.1145747868608,767.7778265625983,67.0
33.784188,-118.30870800000001,1395.0,7441.0,8,Moderate,7,Average,3.0,2.0,POINT (-118.308708 33.784188),746.5407672163706,838.1527307120105,837.7852771406389,80.0
33.885918,-118.240645,1070.0,6119.0,24,High,10,Poor,3.0,1.0,POINT (-118.240645 33.885918),630.6642838467009,714.142842854285,713.8297563147311,72.0
34.157939,-118.602686,1940.0,7250.0,1,Very Low,3,Above Average,3.0,3.0,POINT (-118.602686 34.157939),913.0715330159154,928.4395510748128,928.0325149627246,54.0
34.073126,-118.077376,1094.0,5141.0,6,Moderate,5,Excellent,3.0,2.0,POINT (-118.077376 34.073126),746.2499038300173,800.0,799.6492729232682,66.0
34.106663,-117.923299,1065.0,5303.0,3,Moderate,6,Average,3.0,1.0,POINT (-117.923299 34.106663),656.3494869110713,731.4369419163896,731.1162734908247,65.0
34.011229,-117.811278,2324.0,11043.0,1,Low,2,Above Average,4.0,3.0,POINT (-117.811278 34.011229),782.6737066019108,850.0,849.6273524809725,48.0
34.105653000000004,-118.01818300000001,1453.0,6655.0,0,Low,5,Above Average,4.0,2.0,POINT (-118.018183 34.105653),742.879401281768,868.9073598491384,868.5264231763001,70.0
34.18177,-118.648848,3295.0,13025.0,2,Very Low,2,Excellent,5.0,4.0,POINT (-118.648848 34.18177),913.0715330159154,1305.7564857200596,1305.1840305261094,61.0
33.915442999999996,-117.98056799999999,1635.0,15559.0,1,Low,4,Above Average,4.0,2.0,POINT (-117.980568 33.915443),783.2162914532569,848.5281374238571,848.1561351824029,59.0
34.302764,-118.510382,2206.0,12503.0,1,Low,4,Above Average,5.0,3.0,POINT (-118.510382 34.302764),786.4228379378518,948.6832980505138,948.2673869006769,55.0
34.685688,-118.107147,1414.0,10588.0,14,Moderate,2,Average,3.0,2.0,POINT (-118.107147 34.685688),585.9924054294548,565.685424949238,565.4374234549352,39.0
33.784991999999995,-118.13649299999999,854.0,2481.0,7,Slightly High,10,Average,2.0,1.0,POINT (-118.136493 33.784992),790.8073185403072,770.7139547199077,770.3760669044887,94.0
33.9023,-118.176698,848.0,6152.0,6,Slightly High,17,Average,2.0,1.0,POINT (-118.176698 33.9023),629.2618149365289,632.4555320336759,632.1782579337846,73.0
34.139408,-117.855205,1579.0,11984.0,3,Low,2,Excellent,3.0,2.0,POINT (-117.855205 34.139408),800.215244245759,842.6149773176359,842.2455674578796,61.0
34.070021999999994,-118.378201,1910.0,5852.0,0,Slightly High,8,Above Average,4.0,3.0,POINT (-118.378201 34.07002199999999),1093.2124619660854,1322.8756555322952,1322.2956951428648,95.0
34.681133,-118.244932,2680.0,7936.0,2,Moderate,2,Average,4.0,3.0,POINT (-118.244932 34.681133),585.9924054294548,678.2329983125268,677.9356549664753,15.0
34.237885999999996,-118.430625,1288.0,6158.0,8,Low,7,Average,3.0,2.0,POINT (-118.430625 34.237886),666.2209231797514,764.8529270389178,764.5176087498801,68.0
34.170049,-118.04531599999999,1110.0,1453.0,2,Very Low,3,Excellent,2.0,2.0,POINT (-118.045316 34.170049),933.6369071312419,764.8529270389178,764.5176087498801,70.0
34.07713,-117.99626299999998,1006.0,6314.0,5,Moderate,4,Average,3.0,1.0,POINT (-117.996263 34.07713),642.9857004054883,738.24115301167,737.9175015597715,67.0
33.805081,-118.204,1234.0,3155.0,27,Slightly High,5,Average,3.0,2.0,POINT (-118.204 33.805081),790.8073185403072,809.3207028119323,808.9658894566376,21.0
34.182356,-118.28664199999999,1559.0,6050.0,1,Low,5,Above Average,3.0,2.0,POINT (-118.286642 34.182356),900.964697477965,1030.0485425454472,1029.5969601526738,93.0
33.90037,-118.056046,1139.0,5634.0,3,Moderate,16,Average,3.0,1.0,POINT (-118.056046 33.90037),654.0646784135786,768.1145747868608,767.7778265625983,67.0
34.082771,-118.277001,936.0,3982.0,11,Slightly High,5,Above Average,2.0,1.0,POINT (-118.277001 34.082771),872.0758784976775,959.1663046625439,958.7457976698765,95.0
33.818233,-118.293296,1490.0,5201.0,8,Low,10,Average,3.0,2.0,POINT (-118.293296 33.818233),787.5742163611965,839.6427811873333,839.2746743646524,67.0
34.106629999999996,-118.281566,1295.0,5875.0,2,Slightly High,2,Excellent,2.0,1.0,POINT (-118.281566 34.10663),1039.3426590512602,1090.8712114635714,1090.3929638747122,96.0
34.058253,-117.80189399999999,1200.0,6100.0,2,Moderately High,14,Average,4.0,2.0,POINT (-117.801894 34.058253),651.8299125207416,703.5623639735144,703.2539160094958,66.0
34.115389,-118.07133700000001,1528.0,13228.0,1,Low,4,Excellent,3.0,2.0,POINT (-118.071337 34.115389),828.8352734276665,1072.3805294763608,1071.9103883660516,73.0
33.928964,-118.00945700000001,1184.0,10250.0,10,Moderate,4,Above Average,3.0,2.0,POINT (-118.009457 33.928964),680.9414955576393,787.4007874011811,787.0555839307042,65.0
34.258534999999995,-118.482279,1262.0,7525.0,4,Low,5,Above Average,3.0,2.0,POINT (-118.482279 34.25853499999999),786.4228379378518,866.0254037844386,865.6457305866327,67.0
34.050721,-118.03029199999999,1355.0,7385.0,11,Moderate,15,Average,3.0,1.0,POINT (-118.030292 34.050721),679.0199182117867,781.0249675906655,780.6825593359935,70.0
34.063308,-117.763754,1871.0,5028.0,12,Moderately High,10,Average,3.0,1.0,POINT (-117.763754 34.063308),651.8299125207416,734.8469228349534,734.5247594435895,109.0
34.112569,-118.232418,1068.0,4807.0,16,Slightly High,8,Poor,3.0,2.0,POINT (-118.232418 34.112569),829.8393185817338,803.1189202104505,802.7668257715088,99.0
34.293046999999994,-118.425503,1434.0,6517.0,20,Low,13,Poor,3.0,2.0,POINT (-118.425503 34.29304699999999),680.7672931684554,774.5966692414834,774.2570792096718,25.0
33.790645,-118.104859,1420.0,5945.0,4,Slightly High,8,Above Average,3.0,2.0,POINT (-118.104859 33.790645),790.8073185403072,888.8194417315589,888.4297754258828,67.0
34.119084,-117.732055,2301.0,16435.0,0,Low,3,Excellent,4.0,2.0,POINT (-117.732055 34.119084),790.9299160441853,916.515138991168,916.1133306468195,57.0
34.028799,-117.813475,1274.0,13368.0,1,Low,5,Above Average,3.0,2.0,POINT (-117.813475 34.028799),782.6737066019108,830.6623862918075,830.2982165536886,58.0
34.008385,-117.864621,2628.0,9759.0,3,Low,5,Excellent,4.0,3.0,POINT (-117.864621 34.008385),882.2620576098236,956.5563234854495,956.1369607316179,21.0
