parcel_number,date,price
6130012037,11/3/2020,5300000
2166039007,11/3/2020,15450000
2166039007,2/25/2014,11170000
2166039007,8/28/2003,7250000
2451028033,9/28/2001,2500000
2451028033,6/6/1989,2250000
2056052018,11/3/2020,23900000
2056052018,8/7/2013,16250000
2056052018,1/13/1989,8300000
2827050004,11/3/2020,6900000
2827050004,2/1/2017,5800000
2827050004,4/15/2016,4350000
2827050004,1/30/1998,2068180
8078023065,11/3/2020,5370000
8078023065,5/30/2008,2155000
8078023065,8/28/2007,3952430
8078023065,8/31/2001,1690000
8078023065,2/29/1996,1335000
8078023065,6/5/1991,1640000
6254015020,11/3/2020,8200000
2848036003,11/3/2020,9150000
2848036003,8/21/2012,7600000
2848036003,10/17/2007,8200000
5554025050,11/3/2020,11450000
5554025050,3/17/2016,9075000
5554025050,4/17/2001,3690000
5554025050,4/26/1996,2050000
5554025050,3/30/1994,2200000
5554025050,7/10/1989,2800000
4317012033,11/3/2020,7650000
4317012033,9/27/2012,4750000
5432014010,11/3/2020,32920000
5432014010,7/8/2014,23505000
5432014010,5/7/2010,19000000
5432014010,10/31/2006,19750000
5432014010,9/23/2005,18550000
5432014010,6/27/1991,5150000
5312017046,11/3/2020,19000000
5312017046,1/14/2016,16180000
5312017046,7/21/2010,3000000
2324026009,11/3/2020,7750000
2324026009,7/9/2019,6700000
2324026009,1/25/2007,5770000
2324026009,4/14/2004,4300000
2324026009,11/25/2003,3100000
2324026009,1/30/1990,2395000
4127019015,11/3/2020,11950000
4127019015,10/3/2017,10500000
2276004059,5/5/2017,5200000
2276004059,10/25/2013,4165000
2276004059,2/15/2005,3980000
2276004059,1/28/2003,2650000
2276004059,4/2/2001,1900000
8431009046,11/3/2020,6180000
8431009046,12/10/2015,4150000
2468010074,11/3/2020,6500000
2468010074,4/26/2013,3600000
2468010074,8/15/2008,4400000
2811077086,11/3/2020,9250000
2811077086,4/27/2001,4300000
2020030011,11/3/2020,9200000
2020030011,2/25/2010,6725000
2020030011,12/16/1999,1500000
6207028011,11/3/2020,4850000
6207028011,11/17/1998,1425000
4175007011,11/3/2020,15250000
2166017006,6/29/2018,14500000
2166017006,11/22/2017,10890000
2166017006,9/23/2005,14750000
2166017006,3/7/2003,5700000
2166017006,11/12/2002,5250000
2166017006,4/13/1999,4000000
4211037084,11/3/2020,29390000
4211037084,2/21/2017,27050000
6026019011,11/3/2020,1600000
6026019011,5/5/2010,1600000
6026019011,1/20/2000,1000000
5860011010,11/3/2020,14685000
5860011010,5/15/2017,9950000
7537001012,11/3/2020,17240000
7537001012,11/18/2019,13450000
6243034014,11/3/2020,5320000
5001023005,11/3/2020,4500000
8277045015,11/3/2020,8600000
8649025016,11/3/2020,9900000
8649025016,7/21/2015,6750000
8649025016,7/16/2001,2750000
8649025016,5/17/1990,2370000
8625056027,11/3/2020,5550000
4401002123,11/3/2020,10500000
4401002123,10/21/2010,7350000
4401002123,7/11/2005,8620000
6283015040,11/3/2020,5450000
6283015040,8/28/2013,2550000
6283015040,9/16/2009,3600000
7352011105,11/3/2020,9610000
5806003018,11/3/2020,31250000
5806003018,8/20/1999,13000000
5806003018,10/1/1998,4550000
5806003018,11/8/1996,3990000
2507027014,11/3/2020,5600000
4491005006,11/3/2020,22450000
4491005006,9/7/2001,8350000
4491005006,5/29/1998,6300000
5419010026,11/3/2020,14050000
5419010026,8/30/2011,4500000
5419010026,1/29/2007,6750000
7146011015,11/3/2020,10000000
7146011015,6/24/2014,5620000
7146011015,4/30/2012,4400000
7275019076,11/3/2020,3490000
7275019076,12/6/2010,1260000
4330019025,11/3/2020,8100000
4330019025,4/19/2017,8270000
4330019025,7/29/1992,2650000
3033006147,11/3/2020,280000
3033006147,2/9/2006,165000
4044029017,11/3/2020,4500000
8586005008,11/3/2020,12380000
5040019038,11/3/2020,7420000
5040019038,10/16/1998,1350000
5040019038,7/3/1997,640000
3203064029,11/3/2020,4065000
3203064029,12/6/2018,19100000
2367014004,11/3/2020,25350000
2367014004,6/5/2014,18950000
2367014004,1/4/2013,6600000
2367014004,3/16/1995,3000000
2367014004,6/28/1990,4150000
8276031019,11/3/2020,6900000
6126016039,10/5/2016,4820000
2245008124,11/3/2020,6110000
2245008124,12/8/2015,4400000
4414024030,11/3/2020,20750000
4414024030,3/22/1996,4000000
4032001005,11/3/2020,7400000
4032001005,2/17/2016,500000
4032001005,12/12/2002,260000
2857014018,11/3/2020,7700000
2857014018,1/28/2016,5890000
2857014018,9/6/1996,2340000
4021028145,6/24/2013,1580000
4021028145,10/15/2001,1300000
4021028145,6/14/1990,1180000
5779019025,11/3/2020,11880000
5779019025,4/3/2018,9750000
8355018012,11/3/2020,6000000
8355018012,4/30/1998,1000000
8355018012,10/3/1994,1300000
8355018012,9/12/1989,160000
8553006054,11/3/2020,2920000
8553006054,12/15/2009,1290000
8553006054,9/12/2005,2700000
8553006054,9/29/1989,850000
6067002052,11/3/2020,5250000
6067002052,11/16/2016,3900000
6067002052,9/8/2015,800000
5068012049,11/3/2020,6500000
5068012049,9/12/2016,5860000
5068012049,8/26/2010,4000000
5068012049,9/5/2003,3150000
5068012049,6/15/2001,1400000
5068012049,7/9/1996,578180
5068012049,10/30/1991,1463630
8269014047,3/2/2005,4000000
8269014047,10/4/2002,3800000
8269014047,4/26/1995,2500000
5265016025,11/3/2020,6200000
2128003081,11/3/2020,4500000
2128003081,4/11/2018,4170000
2128003081,11/10/2005,4150000
2128003081,3/27/1996,830000
8660008070,11/3/2020,5000000
8660008070,2/24/2011,3110000
8660008070,3/10/1994,1750000
8660008070,5/19/1989,715000
5746010059,11/3/2020,7100000
5746010059,8/2/2012,4020000
5746010059,9/14/2010,3870000
5746010059,3/12/2004,4360000
5746010059,10/22/2003,3370000
5622003010,11/3/2020,10790000
5622003010,2/26/2002,4050000
5622003010,12/19/1997,3150000
5622003010,4/8/1994,2690000
5034012006,11/3/2020,9650000
5034012006,10/18/2017,7350000
5034012006,3/30/2017,5100000
5034012006,7/17/1992,1800000
5601005062,11/3/2020,12500000
4004013013,11/3/2020,6950000
2830031014,11/3/2020,5005000
2423004056,11/3/2020,7100000
4265002046,11/3/2020,3240000
4265002046,11/8/2018,3000000
4265002046,6/24/2010,18440050
4265002046,6/9/2005,43680000
5757002008,11/3/2020,31000000
5757002008,10/26/2005,8550000
2836040107,11/3/2020,3900000
2836040107,9/8/2017,3350000
2836040107,5/5/2004,2950000
2836040107,10/18/2001,1570000
2423004021,11/3/2020,5700000
2423004021,12/16/2016,4500000
2423004021,9/28/2012,3055000
2423004021,8/13/2012,2280000
3052044043,8/10/2010,1700000
3052044043,8/9/2007,2850000
3052044043,8/15/2005,3600000
3052044043,10/12/2004,2850000
3052044043,6/26/2001,1400000
3052044043,7/14/1989,1560000
2748026050,11/3/2020,6850000
4125003017,11/3/2020,12550000
4125003017,9/16/2014,6850000
4125003017,1/10/2014,5150000
7076013015,11/3/2020,4000000
7076013015,6/13/2018,3200000
2762016060,11/3/2020,4410000
2762016060,7/6/2017,3600000
2762016060,8/21/1991,1935000
5591012014,11/3/2020,14500000
2212027014,1/29/1993,1725000
8625039008,11/3/2020,6650000
8666003032,11/3/2020,9220000
8666003032,8/13/1993,1835000
8570006046,11/3/2020,6790000
8570006046,11/10/2010,4500000
7079029019,11/3/2020,8650000
7079029019,8/7/2008,4650000
7079029019,1/7/2002,3250000
8253007007,11/3/2020,3500000
8253007007,9/22/2011,2900000
8253007007,8/7/1990,1740000
2280004030,11/3/2020,16150000
2280004030,8/13/1992,6250000
2861010045,4/16/2018,7500000
2861010045,6/26/2015,6250000
2861010045,9/8/1998,3600000
2861010045,8/29/1994,3280000
2861010045,7/5/1988,3005000
2264020077,11/3/2020,4690000
2264020077,6/12/2015,4315000
2264020077,9/9/2010,2825000
2264020077,11/12/1997,800000
2264020077,8/8/1996,580000
2437017012,11/3/2020,10250000
2437017012,6/18/1999,2000000
5034015036,11/3/2020,8250000
5034015036,11/3/2017,6500000
5034015036,3/28/2017,4200000
5554017054,11/3/2020,11500000
5554017054,6/16/2009,7990000
4180009019,11/3/2020,32500000
4180009019,11/2/2020,32500000
4180009019,9/7/2006,20995000
4180009019,9/1/2005,18500000
4180009019,12/5/1996,6825000
4180009019,11/29/1988,7190000
4180009019,3/18/1988,2800000
2116004099,11/3/2020,4750000
2116004099,8/12/1999,7229090
2116004099,4/29/1999,6007270
2116004099,9/10/1991,1700000
2826050056,11/3/2020,6790000
2826050056,10/28/2016,5700000
2826050056,9/29/2000,2500000
2826050056,8/30/1995,1860000
2826050056,3/29/1991,2510000
5122026014,5/8/2001,2370000
5122026014,3/30/2000,2200000
5122026014,2/5/1998,3150000
5122026014,6/20/1997,1500000
4315009018,11/3/2020,13880000
4315009018,2/22/2007,8300000
4115017011,11/3/2020,16000000
4115017011,9/10/2010,8100000
4082001030,11/3/2020,7350000
4082001030,11/9/2017,6150000
4082001030,10/5/2007,5230000
4082001030,7/20/1998,1850000
4082001030,7/15/1993,1640000
4082001030,12/16/1988,2180000
6359023001,11/3/2020,6300000
6359023001,8/9/2002,3350000
8516032060,11/3/2020,7200000
8516032060,12/7/2017,7115000
2049039033,11/3/2020,30000000
2049039033,7/1/2016,27950000
2049039033,2/26/1991,11200000
2470024015,11/3/2020,11800000
2651018045,11/3/2020,5200000
2651018045,1/3/2014,2650000
2651018045,4/18/2013,1850000
2651018045,5/3/2006,3850000
2651018045,8/19/2005,3750000
2651018045,9/13/2004,3150000
2651018045,8/7/2002,1850000
2651018045,6/2/1992,1300000
3119022036,11/3/2020,3250000
3119022036,2/23/2018,2530000
3119022036,10/16/2009,1295000
3119022036,10/28/2005,3000000
3119022036,11/10/2004,3150000
3119022036,10/25/1993,940000
6213003025,11/3/2020,10750000
6213003025,7/12/2018,8400000
6213003025,12/15/2015,8200000
6213003025,2/18/1997,4500000
6213003025,8/1/1988,275000
5810023015,11/3/2020,19400000
5810023015,6/4/1998,5950000
5810023015,10/24/1997,1000000
5738015115,11/3/2020,6350000
5738015115,4/8/2013,4390000
2761010008,11/3/2020,22000000
2761010008,9/20/2011,11900000
2761010008,11/6/2001,10950000
7587001144,11/3/2020,7990000
7587001144,6/15/1999,3350000
4104017001,11/3/2020,10990000
4104017001,7/24/2009,5500000
4321011052,11/3/2020,7370000
8711016059,11/3/2020,6800000
8711016059,3/13/2003,3100000
8711016059,4/12/1999,3980000
8711016059,11/5/1998,1570000
3023070030,11/3/2020,3500000
3023070030,11/22/2004,2960000
3023070030,2/19/2003,
3023070030,8/13/1998,1070000
3023070030,3/1/1990,1380000
4265015165,11/3/2020,9750000
4265015165,4/6/2015,8340000
4265015165,10/8/2009,6050000
4265015165,2/1/2006,7430000
4265015165,4/22/1991,
7360013001,11/3/2020,7900000
2761010007,11/3/2020,22000000
2761010007,9/20/2011,11900000
2761010007,11/6/2001,10950000
6213003026,11/3/2020,10750000
6213003026,7/12/2018,8400000
6213003026,12/15/2015,8200000
6213003026,2/18/1997,4500000
6213003026,8/1/1988,275000
2504018178,11/3/2020,4000000
2504018178,4/11/2016,3000000
2504018178,2/27/2009,1570000
2504018178,11/20/1997,580000
5683007042,11/3/2020,3800000
5683007042,4/24/2015,2400000
5683007042,3/15/2004,2050000
5683007042,6/26/2001,990000
4254021021,11/3/2020,13400000
6266031131,11/3/2020,4055000
6266031131,6/3/2002,1475000
6266031131,1/23/1997,860000
7462012026,11/3/2020,7990000
7462012026,2/8/2017,6550000
7462012026,10/15/2004,5350000
8735036010,11/3/2020,6750000
8735036010,12/2/1999,2370000
8735036010,3/20/1991,2300000
7212021016,11/3/2020,5400000
7212021016,9/18/1989,4000000
8285023025,11/3/2020,6430000
7113015041,3/12/2014,3755000
7113015041,1/2/2007,5150000
2220001024,11/3/2020,6350000
5087002012,11/3/2020,13900000
2479004017,11/3/2020,12150000
2479004017,2/9/2011,3670000
4116005045,11/3/2020,21000000
4116005045,9/20/2000,8840000
2601014021,11/3/2020,9650000
2601014021,6/24/2013,4450000
2601014021,9/27/2004,6250000
8614016044,11/3/2020,3930000
8614016044,5/19/1989,930000
8414009013,11/3/2020,5100000
8414009013,5/10/1996,1070000
2416010010,11/3/2020,19000000
5689014009,11/3/2020,8650000
5689014009,3/31/2016,6170000
5689014009,12/18/2013,4670000
6202011008,11/3/2020,7450000
7016014072,11/3/2020,7790000
5113018023,11/3/2020,8500000
5113018023,11/10/2016,2840000
5113018023,11/10/2016,6250000
5113018023,2/27/2013,2670000
5113018023,1/24/2005,3500000
5113018023,11/22/1991,1900000
8717023177,11/3/2020,3260000
8717023177,8/1/2013,2500000
8717023177,8/21/1998,850000
