Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value,url
34.574381,-118.037508,38058 Lido Dr,Single Family Residence,"4 beds, 3 baths","1,979 sqft","7,036 sqft",1989,3023054044,1110738665,Los Angeles,45073,1,910713,45,"
Zoning:

PDA2*
		",09/16/2020,"$350,000","$334,000",https://www.realtytrac.com/property/ca/palmdale/93552/38058-lido-dr/16671462/
34.029588,-118.34438,4711 W 29th St,Single Family Residence,"2 beds, 1 bath","1,132 sqft","2,750 sqft",1927,5057008024,1110724102,Los Angeles,5780,5,220000,623,"
Zoning:

LAR2
		",09/16/2020,"$888,000","$794,000",https://www.realtytrac.com/property/ca/los-angeles/90016/4711-w-29th-st/154636126/
33.988016,-117.984728,15362 Del Prado Dr,Single Family Residence,"4 beds, 3 baths","2,462 sqft","10,250 sqft",1970,8290004038,1110725454,Los Angeles,29726,3,408503,10,"
Zoning:

LCRA1L
		",09/16/2020,"$890,000","$802,000",https://www.realtytrac.com/property/ca/hacienda-heights/91745/15362-del-prado-dr/49086164/
33.879723,-118.065015,16622 Shenandoah Ave,Condominium,"2 beds, 2 baths",904 sqft,"7,007 sqft",1973,7012006007,1110725503,Los Angeles,31077,1,554514,,"
Zoning:

CERM
		",09/16/2020,"$420,000","$428,000",https://www.realtytrac.com/property/ca/cerritos/90703/16622-shenandoah-ave/4419219/
34.051043,-118.254448,633 W 5th St,Office Building,,30.9 acres,1.17 acres,1988,5151017028,1110725507,Los Angeles,MOTT,1,207502,6,"
Zoning:

LAC5
		",09/16/2020,"$430,000,000",,https://www.realtytrac.com/property/ca/los-angeles/90071/633-w-5th-st/154657099/
34.014427,-117.869175,3505 S Flemington Dr,Single Family Residence,"3 beds, 2 baths","1,272 sqft","6,734 sqft",1964,8722006029,1110726179,Los Angeles,27416,1,408136,280,"
Zoning:

WCR1*
		",09/16/2020,"$597,500","$574,000",https://www.realtytrac.com/property/ca/west-covina/91792/3505-s-flemington-dr/155000757/
34.011416,-118.414405,3913 Bentley Ave # 4,Condominium,"3 beds, 3 baths","2,120 sqft","7,505 sqft",2005,4213017054,1110726706,Los Angeles,TALAMANTES ALLOTS,1,702801,1,"
Zoning:

CCR4*
		",09/16/2020,"$1,275,000","$1,057,000",https://www.realtytrac.com/property/ca/culver-city/90232/3913-bentley-ave-4/146537486/
34.166037,-118.348804,921 N Kenwood St,Single Family Residence,"2 beds, 1 bath","1,042 sqft","6,750 sqft",1941,2481003020,1110727511,Los Angeles,6259,1,311400,45,"
Zoning:

BUR2*
		",09/16/2020,"$775,000","$829,000",https://www.realtytrac.com/property/ca/burbank/91505/921-n-kenwood-st/154431994/
34.087306,-118.247804,1421 Ewing St,Single Family Residence,"1 bed, 1 bath",736 sqft,"7,370 sqft",1930,5415009009,1110728144,Los Angeles,ELYSIAN VIEW,1,197300,10,"
Zoning:

LAR1
		",09/16/2020,"$868,000","$911,000",https://www.realtytrac.com/property/ca/los-angeles/90026/1421-ewing-st/45927064/
34.171048,-118.385084,11616 Killion St,Single Family Residence,"3 beds, 1 bath",996 sqft,"6,209 sqft",1944,2350002041,1110728783,Los Angeles,11407,1,125200,28,"
Zoning:

LAR1
		",09/16/2020,"$800,000","$603,000",https://www.realtytrac.com/property/ca/north-hollywood/91601/11616-killion-st/148775631/
34.171044,-118.326499,1809 W Clark Ave,Single Family Residence,"2 beds, 1 bath","1,000 sqft","6,892 sqft",1926,2447014004,1110728845,Los Angeles,5427,4,310800,4,"
Zoning:

BUR1YY
		",09/16/2020,"$850,000","$790,000",https://www.realtytrac.com/property/ca/burbank/91506/1809-w-clark-ave/154425671/
33.864407,-118.175957,1309 E 60th St,Single Family Residence,"3 beds, 3 baths","1,961 sqft","5,712 sqft",1971,7123001032,1110728852,Los Angeles,7846,4,570501,53,"
Zoning:

LBR1N
		",07/30/1999,,"$727,000",https://www.realtytrac.com/property/ca/long-beach/90805/1309-e-60th-st/154861510/
33.87508,-118.400091,2904 Hermosa View Dr,Single Family Residence,"4 beds, 3 baths","3,400 sqft","7,029 sqft",1967,4169032019,1110729471,Los Angeles,28895,1,621001,11,"
Zoning:

HBR1YY
		",09/16/2020,"$3,999,000","$2,817,000",https://www.realtytrac.com/property/ca/hermosa-beach/90254/2904-hermosa-view-dr/143296565/
34.149364,-118.027945,904 N 1st Ave # A,Condominium,"3 beds, 3 baths","1,752 sqft",0.83 acres,1988,5772013049,1110730091,Los Angeles,45634,4,430400,1,"
Zoning:

ARR2*
		",09/16/2020,"$750,000","$734,000",https://www.realtytrac.com/property/ca/arcadia/91006/904-n-1st-ave-a/154649539/
34.612778,-118.129601,40113 Cantara Dr,Condominium,"3 beds, 2 baths","1,327 sqft",5.96 acres,1998,3006025067,1110730741,Los Angeles,46925,1,910201,2,"
Zoning:

PD RPD18U
		",09/16/2020,"$295,000","$263,000",https://www.realtytrac.com/property/ca/palmdale/93550/40113-cantara-dr/26838984/
34.059683,-118.380165,8653 W Olympic Blvd,"Triplex (3 units, any combination)","7 beds, 6 baths","4,937 sqft","6,316 sqft",1939,4333021001,1110731428,Los Angeles,8439,1,216402,1,"
Zoning:

LAR3
		",09/16/2020,"$2,396,000","$2,412,000",https://www.realtytrac.com/property/ca/los-angeles/90035/8653-w-olympic-blvd/30556173/
34.038049,-118.473063,1232 Stanford St # 3,Condominium,"2 beds, 3 baths","1,215 sqft","17,036 sqft",1974,4267004063,1110732002,Los Angeles,32232,1,701602,,"
Zoning:

SMR2*
		",09/16/2020,"$915,000","$1,063,000",https://www.realtytrac.com/property/ca/santa-monica/90404/1232-stanford-st-3/154546240/
34.255225,-118.417634,13067 Goleta St,Single Family Residence,"4 beds, 3 baths","1,906 sqft","7,500 sqft",1946,2623011004,1110732778,Los Angeles,6685,1,104620,28,"
Zoning:

LAR1
		",09/16/2020,"$565,000","$552,000",https://www.realtytrac.com/property/ca/pacoima/91331/13067-goleta-st/30621770/
34.144435,-118.022921,306 Joyce Ave,Single Family Residence,"3 beds, 2 baths","1,441 sqft","8,958 sqft",1947,5772029053,1110734109,Los Angeles,13560,1,430801,11,"
Zoning:

ARR1*
		",09/16/2020,"$890,000","$892,000",https://www.realtytrac.com/property/ca/arcadia/91006/306-joyce-ave/30421332/
34.043918,-118.301245,2059 Venice Blvd,Vacant Commercial,,,"5,501 sqft",1930,5075013016,1110734710,Los Angeles,5954,2,221210,2,"
Zoning:

LAC1
		",09/16/2020,"$2,500,000",,https://www.realtytrac.com/property/ca/los-angeles/90006/2059-venice-blvd/154640385/
33.870278,-118.370302,2303 Rockefeller Ln # A,Condominium,"3 beds, 3 baths","1,678 sqft","7,505 sqft",1975,4157011045,1110735422,Los Angeles,REDONDO VILLA TR,4,620601,1,"
Zoning:

RBR-3
		",09/16/2020,"$815,000","$752,000",https://www.realtytrac.com/property/ca/redondo-beach/90278/2303-rockefeller-ln-a/53423959/
