Latitude,Longitude,HomeSize,LotSize,YearBuilt,Age,SexOffenders,CrimeIndex,EnviornmentalHazards,SchoolQuality,Bedrooms,Bathrooms,Neighborhood,SalePrice,SalePriceTransformed,Date
34.22212,-118.61781,1882.0,9072.0,1972,48,4,Very Low,4,Average,4,2,West Hills,850000.0,923.319,2020-11-23
34.22127,-118.61559,1477.0,11377.0,1960,60,5,Very Low,4,Average,3,2,West Hills,777000.0,882.694,2020-09-23
34.22459,-118.61834,3422.0,9972.0,1973,47,4,Very Low,4,Average,7,5,West Hills,995000.0,998.668,2020-10-02
34.22703,-118.62186,2080.0,11248.0,1959,61,4,Very Low,5,Average,3,3,West Hills,854000.0,925.398,2020-09-28
34.22325,-118.63419,1762.0,10778.0,1967,53,3,Very Low,4,Average,3,3,West Hills,850000.0,921.55,2020-12-31
34.22284,-118.63524,2203.0,10480.0,1967,53,3,Very Low,4,Average,4,3,West Hills,900000.0,950.088,2020-11-24
34.22394,-118.63491,1826.0,13404.0,1967,53,3,Very Low,4,Average,3,3,West Hills,890000.0,944.795,2020-11-12
34.22141,-118.6377,1832.0,11315.0,1963,57,3,Very Low,4,Average,3,2,West Hills,760000.0,872.985,2020-09-30
34.22148,-118.64018,2043.0,11013.0,1963,57,3,Very Low,4,Average,4,2,West Hills,970000.0,986.344,2020-11-19
34.21989,-118.63882,2540.0,11682.0,1963,57,3,Very Low,4,Average,4,2,West Hills,828000.0,911.203,2020-09-21
34.22074,-118.61336,1351.0,11544.0,1958,62,5,Very Low,5,Average,3,2,West Hills,740000.0,861.506,2020-11-13
34.21738,-118.61011,2981.0,8119.0,1957,63,7,Very Low,7,Average,5,3,Canoga Park,750000.0,867.043,2020-10-21
34.21322,-118.61012,1327.0,9146.0,1957,63,7,Very Low,3,Average,3,2,Canoga Park,682000.0,825.471,2020-12-28
34.21579,-118.61329,1929.0,7945.0,1958,21,8,Very Low,4,Average,3,2,Canoga Park,93555.0,581.145,1979-06-13
34.214,-118.61229,1349.0,9800.0,1958,62,8,Very Low,4,Average,3,2,Canoga Park,800000.0,895.751,2020-11-18
34.20911,-118.62309,1532.0,7546.0,1976,44,4,Very Low,3,Average,3,2,West Hills,711000.0,844.374,2020-09-30
34.2138,-118.61793,1362.0,7505.0,1957,63,7,Very Low,4,Average,4,2,West Hills,742500.0,861.307,2020-12-31
34.20932,-118.61602,1622.0,7631.0,1958,62,7,Very Low,3,Average,4,2,West Hills,789000.0,889.3,2020-10-23
34.21137,-118.61738,1570.0,7500.0,1958,62,7,Very Low,4,Average,3,2,West Hills,809000.0,899.05,2020-12-18
34.20852,-118.61862,1570.0,7350.0,1959,61,7,Very Low,3,Average,3,2,West Hills,705000.0,840.629,2020-10-06
34.21725,-118.61883,1284.0,8062.0,1960,60,7,Very Low,4,Average,4,2,West Hills,700000.0,836.293,2020-12-16
34.21337,-118.62309,1196.0,7200.0,1962,38,5,Very Low,4,Average,3,2,West Hills,207500.0,560.481,2000-06-30
