latitude,longitude,home_size,lot_size,zoning,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,sale_price,date,sale_price_cpi,age,neighborhood
34.012375,-118.407173,3247.0,5011.0,CCR1,1.0,Moderate,6.0,Excellent,4.0,4.0,1700000.0,2020-12-01,1303.26886583998,41.0,Culver City
34.242494,-118.26143,986.0,6180.0,GLR1YY,5.0,Low,2.0,Excellent,2.0,1.0,767500.0000000001,2020-11-30,877.367613879628,72.0,Glendale
34.11711,-118.370951,3243.0,8441.0,LARE11,1.0,Slightly High,2.0,Excellent,3.0,4.0,700000.0,2020-11-25,837.8985276069952,20.0,Hollywood Hills West
33.863577,-118.048971,1733.0,5002.0,CERS5000,5.0,Low,7.0,Excellent,4.0,2.0,845000.0000000001,2020-11-25,920.5995573291548,48.0,Cerritos
33.892628,-118.090063,728.0,5088.0,NOR1,22.0,Moderate,5.0,Above Average,2.0,1.0,534999.9999999999,2020-11-25,732.5196821078737,70.0,Norwalk
34.090925,-118.001178,1458.0,14499.0,EMR1CY,7.0,Moderate,6.0,Above Average,4.0,2.0,565000.0,2020-11-25,752.7775022729144,72.0,El Monte
34.005182,-117.842424,1629.0,5129.0,LCR1,0.0,Low,6.0,Excellent,4.0,3.0,670000.0,2020-11-25,819.7469483402444,43.0,Diamond Bar
34.030703,-117.766801,1560.0,8217.0,POPRD,3.0,Moderately High,2.0,Above Average,4.0,2.0,609000.0,2020-11-25,781.5397175015448,39.0,Pomona
34.148692,-117.993993,1892.0,7418.0,MORM,3.0,Low,5.0,Average,4.0,1.0,978000.0,2020-11-25,990.4027433535159,119.0,Missing
34.122917,-117.866412,1139.0,6285.0,GDR1,3.0,Low,2.0,Excellent,3.0,2.0,587000.0,2020-11-25,767.2933917220461,65.0,Glendora
34.120257,-118.350434,1927.0,15028.0,LAR1,2.0,Slightly High,3.0,Above Average,2.0,2.0,2175000.0000000005,2020-11-25,1476.971237306259,70.0,Hollywood Hills
34.025591,-118.265969,1271.0,6104.0,LARD2,20.0,Slightly High,12.0,Average,3.0,2.0,525000.0000000001,2020-11-25,725.6414107012347,125.0,Historic South-Central
33.985649,-117.941229,1646.0,8950.0,LCRPD60007U,2.0,Moderate,2.0,Excellent,3.0,2.0,830000.0,2020-11-25,912.3919680314059,42.0,Hacienda Heights
34.568008,-118.05661200000002,1463.0,7000.0,LCRA7000,2.0,Moderate,2.0,Average,3.0,2.0,310000.0000000001,2020-11-25,557.6006279401195,29.0,Missing
33.899918,-118.41482,887.0,2701.0,MNRS,1.0,Low,7.0,Excellent,2.0,1.0,1900000.0,2020-11-25,1380.4453168014527,66.0,Manhattan Beach
34.64155,-118.213114,2300.0,12706.0,LCA110000,2.0,Moderate,2.0,Above Average,3.0,2.0,778000.0,2020-11-25,883.3487640922591,36.0,Quartz Hill
34.544753,-118.037274,2447.0,8270.0,PDR17000,2.0,Moderate,3.0,Average,4.0,3.0,405000.00000000006,2020-11-25,637.3381550740303,14.0,Missing
34.230083,-118.433092,1118.0,6621.0,LAR1,8.0,Low,10.0,Average,3.0,1.0,589999.9999999999,2020-11-25,769.251608581746,69.0,Arleta
34.446597,-118.569648,3120.0,11861.0,SCSP,0.0,Low,7.0,Excellent,5.0,3.0,838000.0000000001,2020-11-25,916.7784931645027,16.0,Santa Clarita
33.860026,-118.392985,2439.0,3778.0,HBR2YY,2.0,Low,8.0,Excellent,4.0,2.0,1935000.0,2020-11-25,1393.1019236966697,113.0,Hermosa Beach
33.923968,-118.359506,1342.0,5854.0,HAR3YY,7.0,Slightly High,8.0,Above Average,4.0,2.0,552499.9999999999,2020-11-25,744.4037434346832,78.0,Hawthorne
34.587869,-118.159473,1612.0,8426.0,LCRA7000,5.0,Moderate,4.0,Above Average,3.0,2.0,345000.0000000001,2020-11-25,588.2364808540134,63.0,Desert View Highlands
34.165956,-118.134358,1705.0,9245.0,PSR6,6.0,Moderate,2.0,Average,3.0,2.0,1160000.0,2020-11-25,1078.627284611938,98.0,Pasadena
33.83462100000001,-118.089924,1036.0,4999.0,LKR1YY,10.0,Moderate,6.0,Average,3.0,1.0,630000.0,2020-11-25,794.9003386018737,59.0,Missing
34.094967,-117.980973,1431.0,6357.0,BPR1,5.0,Moderate,9.0,Average,4.0,1.0,539999.9999999999,2020-11-25,735.9347107936218,70.0,Baldwin Park
34.16611,-118.322099,1381.0,6711.0,BUR1YY,3.0,Low,11.0,Above Average,2.0,2.0,1300000.0,2020-11-25,1141.8632175626449,83.0,Burbank
34.200691,-118.620943,1490.0,8398.0,LARS,4.0,Very Low,3.0,Average,4.0,2.0,774999.9999999999,2020-11-25,881.64400451545,62.0,West Hills
33.851104,-118.080423,1609.0,5095.0,CERS5000,12.0,Low,6.0,Above Average,4.0,2.0,850000.0,2020-11-25,923.3192074413415,51.0,Cerritos
34.596237,-118.177238,2158.0,7675.0,LCA22,5.0,Moderate,3.0,Above Average,4.0,3.0,460000.0,2020-11-25,679.2369811364456,17.0,Missing
33.796719,-118.192291,1140.0,3921.0,LBR2N,22.0,Slightly High,10.0,Above Average,2.0,1.0,599000.0000000001,2020-11-25,775.0965760996833,92.0,Long Beach
