latitude,longitude,address,property_type,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school_quality,url,bedrooms,bathrooms
33.973875,-118.366897,885 Kincaid Ave,Single Family Residence,1911.0,5010.0,1955.0,4017015011.0,1114305171.0,Los Angeles,7653,2.0,601302.0,12,INR3YY,2021-01-04,675000.0,630400.0,11.0,Moderately High,8.0,1.0,Poor,https://www.realtytrac.com/property/ca/inglewood/90302/885-kincaid-ave/52302233/,3.0,2.0
33.976194,-118.367328,500 Evergreen St # 301,Condominium,726.0,2918520.0,1965.0,4017004101.0,1114305178.0,Los Angeles,38479,2.0,601302.0,,INR3,2021-01-04,299000.0,363800.0,8.0,Moderately High,13.0,1.0,Poor,https://www.realtytrac.com/property/ca/inglewood/90302/500-evergreen-st-301/49136491/,1.0,1.0
33.95545,-118.307153,8931 S Harvard Blvd,Single Family Residence,1707.0,5074.0,1931.0,6037027047.0,1114306661.0,Los Angeles,6220,2.0,238400.0,19,LAR1,2021-01-04,685000.0,762600.0,41.0,Slightly High,5.0,1.0,Poor,https://www.realtytrac.com/property/ca/los-angeles/90047/8931-s-harvard-blvd/154819396/,3.0,2.0
34.614872,-118.19663200000001,40326 Racquet Ln,Single Family Residence,2030.0,8543.0,1999.0,3001086007.0,1114306665.0,Los Angeles,46140,1.0,910210.0,47,PDRPD-1-12U,2021-01-04,390000.0,449500.0,5.0,Moderate,3.0,1.0,Above Average,https://www.realtytrac.com/property/ca/palmdale/93551/40326-racquet-ln/20092221/,4.0,2.0
34.001794,-118.48553700000001,138 Fraser Ave,"Duplex (2 units, any combination)",1278.0,3546.0,1905.0,4288019008.0,1114306666.0,Los Angeles,CENTRAL BEACH TR,1.0,702002.0,13,SMR2R,2001-07-02,415000.0,1435000.0,3.0,Moderate,6.0,1.0,Excellent,https://www.realtytrac.com/property/ca/santa-monica/90405/138-fraser-ave/48962782/,2.0,2.0
34.03625,-118.189695,3579 E 1st St,MISCELLANEOUS   (Commercial),756.0,2746.0,1924.0,5232013017.0,1114307298.0,Los Angeles,H T HAZARDS EAST SIDE ADD,2.0,531101.0,14,LCC3,2021-01-04,800000.0,,17.0,Slightly High,2.0,1.0,Average,https://www.realtytrac.com/property/ca/los-angeles/90063/3579-e-1st-st/154671176/,,
34.04385,-118.306625,2215 Venice Blvd,Single Family Residence,2688.0,7467.0,1905.0,5074012022.0,1114308711.0,Los Angeles,WESTMORELAND HEIGHTS,1.0,221303.0,76,LAC2,2021-01-04,3500000.0,1332000.0,18.0,Slightly High,6.0,1.0,Poor,https://www.realtytrac.com/property/ca/los-angeles/90006/2215-venice-blvd/8251222/,5.0,1.0
34.065337,-117.90921000000002,1720 E Walnut Creek Pkwy,Single Family Residence,1728.0,7204.0,1953.0,8477024007.0,1114308752.0,Los Angeles,14539,2.0,406500.0,57,WCR1YY,2003-09-03,335000.0,756900.0,10.0,Low,4.0,2.0,Above Average,https://www.realtytrac.com/property/ca/west-covina/91791/1720-e-walnut-creek-pkwy/44062339/,3.0,2.0
34.192233,-118.412524,6710 Alcove Ave,Single Family Residence,1886.0,6199.0,1947.0,2325007005.0,1114308760.0,Los Angeles,13915,1.0,123303.0,49,LAR1,2021-01-04,705000.0,446400.0,9.0,,9.0,1.0,Average,https://www.realtytrac.com/property/ca/north-hollywood/91606/6710-alcove-ave/143044443/,3.0,1.0
34.206142,-118.648605,7422 Cliffside Ct,Single Family Residence,4410.0,6708240.0,1995.0,2027046007.0,1114308808.0,Los Angeles,41061,1.0,134421.0,92,LARE11,2021-01-04,2000000.0,2107000.0,1.0,Very Low,3.0,1.0,Excellent,https://www.realtytrac.com/property/ca/west-hills/91307/7422-cliffside-ct/46099750/,5.0,5.0
33.976575,-118.340624,928 E 66th St,Single Family Residence,1222.0,6803.0,1922.0,4013024024.0,1114309599.0,Los Angeles,4476,2.0,600912.0,78,INR2,2021-01-04,708000.0,570800.0,24.0,Moderately High,6.0,1.0,Poor,https://www.realtytrac.com/property/ca/inglewood/90302/928-e-66th-st/21837224/,3.0,2.0
34.130839,-118.051378,586 W Huntington Dr # H,Condominium,1040.0,18208080.0,1974.0,5778003108.0,1114309624.0,Los Angeles,31431,2.0,430723.0,,ARR3,2021-01-04,540000.0,497800.0,1.0,Low,6.0,1.0,Excellent,https://www.realtytrac.com/property/ca/arcadia/91007/586-w-huntington-dr-h/154804309/,2.0,2.0
34.048718,-118.03679,1854 Floradale Ave,"Warehouse, Storage",2700720.0,3005640.0,1975.0,8114016034.0,1114310259.0,Los Angeles,26324,2.0,433801.0,10,SEM,2021-01-04,1247500.0,,9.0,Slightly High,23.0,1.0,Average,https://www.realtytrac.com/property/ca/south-el-monte/91733/1854-floradale-ave/154938582/,,
34.083782,-118.27936100000001,844 Tularosa Dr,"Duplex (2 units, any combination)",1632.0,7840.0,1941.0,5427031009.0,1114310267.0,Los Angeles,3495,2.0,195902.0,5,LAR2,2021-01-04,1030000.0,859200.0,10.0,Slightly High,4.0,1.0,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90026/844-tularosa-dr/154563248/,3.0,3.0
33.922124,-118.20130400000001,3800 Cortland St,Single Family Residence,1054.0,4861.0,1940.0,6187027002.0,1114310962.0,Los Angeles,10503,2.0,540102.0,119,LYR3YY,2021-01-04,460000.0,455700.0,19.0,Slightly High,12.0,2.0,Average,https://www.realtytrac.com/property/ca/lynwood/90262/3800-cortland-st/16654171/,3.0,1.0
34.049815,-118.03811599999999,1860 Tyler Ave,"Warehouse, Storage",3179880.0,5401440.0,2008.0,8114019024.0,1114311024.0,Los Angeles,E J BALDWINS,2.0,433801.0,11,SEM,2021-01-04,2850000.0,,9.0,Slightly High,24.0,1.0,Average,https://www.realtytrac.com/property/ca/south-el-monte/91733/1860-tyler-ave/51782278/,,
