latitude,longitude,address,property_type,rooms,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school_quality,url
34.162586,-118.262102,1139 N Columbus Ave,Single Family Residence,"2 beds, 1 bath",644 sqft,"2,058 sqft",1922,5636001030,1114959829,Los Angeles,726,3,301204,49,"
Zoning:

GLR4YY
		",01/26/2021,"$649,000","$717,900",2 Found,Low,3 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/glendale/91202/1139-n-columbus-ave/43857776/
34.06006,-118.317922,703 S Norton Ave,Single Family Residence,"7 beds, 3 baths","3,230 sqft","6,609 sqft",1920,5092007011,1114959872,Los Angeles,BOULEVARD HEIGHTS,1,212610,11,"
Zoning:

LARD2
		",01/20/2021,"$1,125,000","$1,427,000",3 Found,Slightly High,7 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90005/703-s-norton-ave/52047693/
34.131353,-117.985617,1824 Citrus View Ave,Single Family Residence,"3 beds, 1 bath",997 sqft,"6,204 sqft",1948,8531016023,1114962587,Los Angeles,13541,2,430102,48,"
Zoning:

DUR16500*
		",01/26/1979,,"$462,500",4 Found,Low,13 Found,1 Found,Average,https://www.realtytrac.com/property/ca/duarte/91010/1824-citrus-view-ave/154583633/
34.419445,-118.458833,18512 Oceana Ct,Condominium,"3 beds, 3 baths","2,248 sqft",1.14 acres,1987,2803039066,1114962637,Los Angeles,43528,5,920035,6,"
Zoning:

SCUR2
		",01/15/1998,"$189,000","$518,000",2 Found,,6 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/canyon-cntry/91351/18512-oceana-ct/154457035/
34.48683,-118.619758,31319 The Old Rd # D,Condominium,"2 beds, 3 baths","1,264 sqft",5.71 acres,1984,2865013090,1114973912,Los Angeles,34365,2,920116,2,"
Zoning:

LCRPD90006.5U
		",01/26/2021,"$395,000","$447,300",0 Found,,3 Found,2 Found,Excellent,https://www.realtytrac.com/property/ca/castaic/91384/31319-the-old-rd-d/25471956/
34.144771,-118.243977,138 S Cedar St,"Duplex (2 units, any combination)","1 bed, 2 baths","1,243 sqft","7,210 sqft",1921,5674010011,1114974573,Los Angeles,GLENDALE,1,302201,22,"
Zoning:

GLR4YY
		",01/26/2021,"$898,000","$890,800",4 Found,Low,3 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/glendale/91205/138-s-cedar-st/19732163/
34.152792,-118.45228,4443 Tobias Ave,Single Family Residence,"5 beds, 2 baths","2,173 sqft","5,406 sqft",1938,2265004003,1114974629,Los Angeles,6852,2,141304,3,"
Zoning:

LAR1
		",01/26/2021,"$1,390,000","$563,200",0 Found,,7 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/sherman-oaks/91403/4443-tobias-ave/154402993/
34.138508,-118.39215,3738 Laurel Canyon Blvd,Single Family Residence,"3 beds, 3 baths","2,891 sqft",0.71 acres,1941,2369021008,1114962397,Los Angeles,6248,3,143800,9,"
Zoning:

LAR1
		",01/26/2021,"$3,495,000","$2,300,000",3 Found,,1 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/studio-city/91604/3738-laurel-canyon-blvd/154417604/
34.124601,-118.362028,2953 Nichols Canyon Rd,Single Family Residence,"4 beds, 2 baths","2,218 sqft","10,816 sqft",1958,5570035005,1114962857,Los Angeles,22786,3,194102,43,"
Zoning:

LARE15
		",01/26/2021,"$2,412,500","$2,009,000",1 Found,Slightly High,3 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90046/2953-nichols-canyon-rd/52099330/
34.157936,-117.985795,322 Meadow Ln,Single Family Residence,"4 beds, 2 baths","1,614 sqft","8,071 sqft",1959,8523016039,1114964727,Los Angeles,21125,4,430301,48,"
Zoning:

MORL*
		",01/26/2021,"$925,000","$1,076,000",2 Found,Low,3 Found,1 Found,Average,https://www.realtytrac.com/property/ca/monrovia/91016/322-meadow-ln/154976643/
33.943441,-118.314833,2041 W 103rd St,"Duplex (2 units, any combination)","4 beds, 2 baths","1,778 sqft","6,008 sqft",1947,6058014026,1114966565,Los Angeles,13545,1,600400,67,"
Zoning:

LCR2YY
		",01/26/2021,"$644,000","$727,000",19 Found,Slightly High,8 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/los-angeles/90047/2041-w-103rd-st/10867606/
34.066005,-118.431122,10445 Wilshire Blvd # 1404,Condominium,"2 beds, 2 baths","1,649 sqft",0.75 acres,1980,4360029211,1114966645,Los Angeles,34401,1,265100,,"
Zoning:

LAR5
		",01/26/2021,"$1,200,000","$1,270,000",2 Found,Slightly High,10 Found,1 Found,Average,https://www.realtytrac.com/property/ca/los-angeles/90024/10445-wilshire-blvd-1404/144080662/
34.176797,-118.533888,18408 Hatteras St # 13,Condominium,"2 beds, 2 baths",928 sqft,1.95 acres,1979,2157004010,1114967175,Los Angeles,27168,1,139303,,"
Zoning:

LARD1.5
		",01/26/2021,"$413,000","$417,100",4 Found,,7 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/tarzana/91356/18408-hatteras-st-13/54632372/
34.131351,-118.230532,4429 W Avenue 42,Single Family Residence,"3 beds, 2 baths","1,232 sqft","7,199 sqft",1939,5684004008,1114969919,Los Angeles,5127,2,186100,8,"
Zoning:

LAR1
		",01/26/2021,"$1,085,000","$1,160,000",8 Found,Slightly High,2 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90065/4429-w-avenue-42/149107980/
34.042384,-118.453829,1621 Barry Ave # 105,Condominium,"3 beds, 3 baths","1,653 sqft","13,749 sqft",2006,4262011040,1114970873,Los Angeles,62188,1,267501,1,"
Zoning:

LAR3
		",01/26/2021,"$1,000,000","$1,165,000",3 Found,Slightly High,39 Found,1 Found,Average,https://www.realtytrac.com/property/ca/los-angeles/90025/1621-barry-ave-105/155016650/
34.087182,-117.856979,144 N Starglen Dr,Single Family Residence,"3 beds, 2 baths","1,836 sqft","9,603 sqft",1976,8426011036,1114972165,Los Angeles,30199,2,403702,5,"
Zoning:

CVR17500*
		",01/26/2021,"$760,000","$739,800",4 Found,Moderate,4 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/covina/91724/144-n-starglen-dr/154966831/
34.118276,-118.466222,2369 Nalin Dr,Single Family Residence,"3 beds, 3 baths","2,705 sqft",0.71 acres,1965,4378002014,1114974551,Los Angeles,24775,1,262200,24,"
Zoning:

LARE15
		",01/26/2021,"$1,700,000","$1,937,000",1 Found,Slightly High,4 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90077/2369-nalin-dr/16161564/
34.072002,-117.780116,1559 Club Dr,Single Family Residence,"3 beds, 2 baths",906 sqft,"3,316 sqft",1987,8355032060,1114953267,Los Angeles,32970,2,402406,33,"
Zoning:

POR31500S*
		",01/26/2021,,"$401,800",9 Found,Moderately High,9 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/pomona/91768/1559-club-dr/18356433/
34.109731,-117.893907,18320 E Woodcroft St,Single Family Residence,"3 beds, 1 bath","1,468 sqft","6,084 sqft",1953,8622021013,1114953813,Los Angeles,19225,3,404100,90,"
Zoning:

LCA16000*
		",11/14/1977,"$39,000","$441,000",12 Found,Moderate,3 Found,1 Found,Average,https://www.realtytrac.com/property/ca/azusa/91702/18320-e-woodcroft-st/54086162/
34.108099,-118.158399,826 Rollin St,Single Family Residence,"4 beds, 3 baths","2,332 sqft","5,504 sqft",1983,5314016025,1114954111,Los Angeles,HUNT TR,3,480703,10,"
Zoning:

SPR110000*
		",01/26/2021,"$1,638,500","$1,506,000",6 Found,Low,3 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/south-pasadena/91030/826-rollin-st/43838564/
34.045625,-118.386845,9006 Cresta Dr,Single Family Residence,"3 beds, 2 baths","1,813 sqft","7,651 sqft",1947,4305028006,1114954780,Los Angeles,12406,1,269500,46,"
Zoning:

LAR1
		",01/26/2021,"$1,425,000","$1,177,000",5 Found,Slightly High,7 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90035/9006-cresta-dr/154560546/
34.677151,-118.143796,43729 Gadsden Ave,Single Family Residence,"3 beds, 2 baths","1,288 sqft","6,817 sqft",1956,3130006006,1114955252,Los Angeles,20761,3,900701,14,"
Zoning:

LRRA7000*
		",01/26/2021,"$180,000","$317,100",6 Found,Moderate,6 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/lancaster/93534/43729-gadsden-ave/18878034/
