parcel_number,date,price
4017015011,2021-01-04,675000.0
4017004101,2021-01-04,299000.0
4017004101,2001-11-28,70000.0
4017004101,1990-08-09,60000.0
6037027047,2021-01-04,685000.0
6037027047,2018-02-28,555000.0
3001086007,2021-01-04,390000.0
3001086007,2014-02-11,265000.0
3001086007,1999-07-22,157500.0
4288019008,1990-02-13,250000.0
5232013017,2021-01-04,800000.0
5232013017,2016-08-23,905000.0
5074012022,2021-01-04,3500000.0
5074012022,2017-09-12,2150000.0
5074012022,2013-07-08,336000.0
5074012022,2007-11-09,650000.0
5074012022,2006-02-22,650000.0
5074012022,2003-09-19,1300000.0
5074012022,2002-04-05,770000.0
5074012022,2000-05-25,820000.0
5074012022,1999-03-31,764000.0
8477024007,2003-09-03,335000.0
8477024007,2000-10-30,219000.0
8477024007,1988-05-26,149500.0
2325007005,2021-01-04,705000.0
2027046007,2021-01-04,2000000.0
2027046007,2002-09-12,1100000.0
2027046007,1998-08-18,731000.0
2027046007,1995-01-31,609500.0
4013024024,2021-01-04,708000.0
4013024024,1988-06-03,95000.0
5778003108,2021-01-04,540000.0
5778003108,1997-12-19,152500.0
5778003108,1993-01-11,158000.0
5778003108,1989-10-31,178000.0
8114016034,2021-01-04,1247500.0
8114016034,1991-09-20,600000.0
5427031009,2021-01-04,1030000.0
6187027002,2021-01-04,460000.0
6187027002,1997-08-18,115000.0
8114019024,2021-01-04,2850000.0
8114019024,1999-01-06,1080000.0
7250007028,2021-01-04,1025000.0
7250007028,1997-05-30,349000.0
4228002042,2021-01-04,2495000.0
4228002042,2017-04-24,2450000.0
4228002042,2014-02-14,850000.0
4228002042,2005-10-31,836000.0
4228002042,1996-04-30,185000.0
4235012054,2021-01-04,700000.0
4235012054,2013-08-07,475000.0
4235012054,2009-10-02,405000.0
4235012054,2007-09-26,485000.0
5751024071,1990-05-23,275000.0
6206009020,2005-02-04,344000.0
6206009020,2004-05-17,260000.0
6206009020,2001-06-14,146000.0
6206009020,1989-01-24,125000.0
3009007005,2016-11-29,300000.0
3009007005,2008-10-03,10000.0
3009007005,1993-02-26,65000.0
7343018097,2021-01-04,550000.0
7343018097,2018-12-06,260000.0
7343018097,2010-08-06,225000.0
7343018097,1994-07-29,10000.0
7343018097,1991-08-30,178000.0
3346013023,2021-01-04,8500.0
7232012005,2021-01-04,750000.0
7232012005,2007-02-22,585000.0
7232012005,1989-11-29,230000.0
3058008039,2021-01-04,500000.0
3153079011,2021-01-04,479000.0
3153079011,2017-05-19,305000.0
3153079011,2010-04-26,215000.0
3153079011,2006-03-17,384000.0
2669011002,2021-01-04,725000.0
8326028013,2021-01-04,855000.0
8326028013,2005-09-28,750000.0
8326028013,2003-01-21,350000.0
8326028013,1988-08-30,280000.0
8326028013,1988-03-04,225000.0
7458025020,2021-01-04,688000.0
7458025020,2003-12-31,330000.0
7458025020,2000-02-04,224000.0
7458025020,1992-04-01,216000.0
3112037030,2021-01-04,270000.0
3112037030,2004-08-26,182500.0
3112037030,1996-07-12,71000.0
7130008001,1998-10-09,120000.0
5365022006,2021-01-04,1210000.0
2169007003,2021-01-04,780000.0
2169007003,2009-12-01,458000.0
2169007003,2001-07-24,235000.0
2114006191,2021-01-04,310000.0
2114006191,2017-10-18,227000.0
2114006191,2006-02-02,270500.0
8087034015,2021-01-04,670000.0
