parcel_number,date,price
5636001030,"
1/26/2021                        ","
$649,000                        "
5636001030,"
7/21/2017                        ","
$531,000                        "
5636001030,"
2/19/2015                        ","
$380,000                        "
5636001030,"
9/10/2014                        ","
$306,000                        "
5636001030,"
3/3/2003                        ","
$215,000                        "
5636001030,"
5/7/2002                        ","
$130,000                        "
5092007011,"
1/20/2021                        ","
$1,125,000                        "
2803039066,"
1/15/1998                        ","
$189,000                        "
2803039066,"
7/18/1989                        ","
$329,000                        "
2865013090,"
1/26/2021                        ","
$395,000                        "
2865013090,"
4/30/2018                        ","
$335,500                        "
2865013090,"
11/10/2003                        ","
$237,000                        "
2865013090,"
11/14/2002                        ","
$180,000                        "
2865013090,"
4/29/1992                        ","
$128,500                        "
2865013090,"
10/14/1988                        ","
$114,000                        "
5674010011,"
1/26/2021                        ","
$898,000                        "
5674010011,"
1/16/2002                        ","
$305,000                        "
2265004003,"
1/26/2021                        ","
$1,390,000                        "
2369021008,"
1/26/2021                        ","
$3,495,000                        "
2369021008,"
1/22/2021                        ","
$3,495,000                        "
2369021008,"
10/10/2012                        ","
$1,489,000                        "
2369021008,"
10/21/2003                        ","
                                N/A
                        "
5570035005,"
1/26/2021                        ","
$2,412,500                        "
8523016039,"
1/26/2021                        ","
$925,000                        "
8523016039,"
2/22/2013                        ","
$555,000                        "
6058014026,"
1/26/2021                        ","
$644,000                        "
6058014026,"
1/6/2009                        ","
$308,000                        "
6058014026,"
12/26/2006                        ","
$600,000                        "
6058014026,"
4/24/2006                        ","
$435,000                        "
6058014026,"
9/10/2004                        ","
                                N/A
                        "
4360029211,"
1/26/2021                        ","
$1,200,000                        "
4360029211,"
4/5/2005                        ","
$1,000,000                        "
4360029211,"
2/20/2003                        ","
$655,000                        "
4360029211,"
11/30/2000                        ","
$760,000                        "
2157004010,"
1/26/2021                        ","
$413,000                        "
2157004010,"
6/28/2019                        ","
$375,000                        "
2157004010,"
3/27/2018                        ","
$361,000                        "
2157004010,"
6/8/2016                        ","
$325,000                        "
5684004008,"
1/26/2021                        ","
$1,085,000                        "
5684004008,"
1/15/2016                        ","
$765,000                        "
5684004008,"
7/20/2015                        ","
$535,000                        "
5684004008,"
7/20/2015                        ","
$535,000                        "
4262011040,"
11/22/2016                        ","
$880,000                        "
8426011036,"
1/26/2021                        ","
$760,000                        "
8426011036,"
3/31/1988                        ","
$164,000                        "
4378002014,"
1/26/2021                        ","
$1,700,000                        "
8355032060,"
3/4/2016                        ","
$209,000                        "
8355032060,"
8/6/2002                        ","
$103,000                        "
8355032060,"
2/8/1999                        ","
$85,000                        "
8355032060,"
1/15/1999                        ","
$61,000                        "
8355032060,"
7/31/1996                        ","
$85,000                        "
5314016025,"
1/26/2021                        ","
$1,638,500                        "
5314016025,"
12/4/2003                        ","
$700,500                        "
4305028006,"
1/26/2021                        ","
$1,425,000                        "
3130006006,"
1/26/2021                        ","
$180,000                        "
3130006006,"
11/20/2002                        ","
$136,000                        "
3130006006,"
8/20/2002                        ","
$86,313                        "
3130006006,"
9/22/1999                        ","
$10,000                        "
7278024097,"
1/26/2021                        ","
$310,000                        "
7278024097,"
5/16/2012                        ","
$99,000                        "
7278024097,"
4/12/2012                        ","
$78,750                        "
7278024097,"
2/10/2005                        ","
$210,000                        "
7278024097,"
8/28/1998                        ","
$37,500                        "
7278024097,"
2/14/1996                        ","
$32,000                        "
8507016039,"
1/26/2021                        ","
$865,000                        "
8507016039,"
9/20/2011                        ","
$505,000                        "
8507016039,"
12/19/2001                        ","
$245,000                        "
5046027007,"
10/28/1997                        ","
$172,500                        "
8547024061,"
1/26/2021                        ","
$500,000                        "
8547024061,"
6/23/2017                        ","
$475,000                        "
2376008007,"
1/26/2021                        ","
$3,200,000                        "
2376008007,"
11/22/1991                        ","
$855,000                        "
5455014008,"
1/26/2021                        ","
$794,000                        "
5455014008,"
3/17/1995                        ","
$15,000                        "
5455014008,"
12/20/1994                        ","
$15,000                        "
5455014008,"
9/24/1993                        ","
$37,790                        "
4289013086,"
1/26/2021                        ","
$899,000                        "
4289013086,"
10/3/2008                        ","
$667,500                        "
4289013086,"
6/22/2004                        ","
$549,000                        "
4289013086,"
11/3/1993                        ","
$202,500                        "
7274019053,"
1/26/2021                        ","
$440,000                        "
7274019053,"
9/25/2018                        ","
$369,000                        "
7274019053,"
8/22/2003                        ","
$70,000                        "
7274019053,"
4/15/2003                        ","
$125,000                        "
7274019053,"
3/7/2001                        ","
$63,500                        "
4118014044,"
2/4/2005                        ","
$567,000                        "
4118014044,"
9/21/2001                        ","
$305,000                        "
4118014044,"
8/29/1991                        ","
$240,000                        "
4118014044,"
1/15/1988                        ","
$187,545                        "
7545029022,"
1/26/2021                        ","
$1,500,000                        "
7545029022,"
3/31/2014                        ","
$1,234,000                        "
5864013005,"
1/26/2021                        ","
$2,157,500                        "
5864013005,"
12/4/2019                        ","
$1,346,500                        "
5864013005,"
7/28/2015                        ","
$1,150,000                        "
5864013005,"
7/28/2015                        ","
$1,150,000                        "
8555019028,"
1/26/2021                        ","
$220,000                        "
8555019028,"
4/19/2006                        ","
$203,000                        "
8555019028,"
11/6/1992                        ","
$73,000                        "
2167012022,"
1/26/2021                        ","
$1,092,000                        "
2167012022,"
7/7/2016                        ","
$860,000                        "
2167012022,"
3/4/2004                        ","
$720,000                        "
2167012022,"
9/9/2003                        ","
$576,077                        "
2167012022,"
5/15/2002                        ","
$780,000                        "
2167012022,"
7/3/2001                        ","
$605,000                        "
2167012022,"
11/8/1999                        ","
$105,000                        "
6367004007,"
1/26/2021                        ","
$605,000                        "
6367004007,"
9/4/2008                        ","
$370,000                        "
6367004007,"
8/31/2006                        ","
$515,000                        "
6367004007,"
11/16/1994                        ","
$143,000                        "
6367004007,"
5/20/1988                        ","
$113,000                        "
2727007001,"
1/26/2021                        ","
$1,325,000                        "
2727007001,"
6/8/1995                        ","
$270,000                        "
2727007001,"
3/4/1993                        ","
$308,181                        "
8171028028,"
1/26/2021                        ","
$560,000                        "
8171028028,"
9/5/1996                        ","
$144,000                        "
3029006028,"
1/26/2021                        ","
$17,500                        "
5337011002,"
1/26/2021                        ","
$625,000                        "
5523002100,"
1/26/2021                        ","
$875,000                        "
5523002100,"
5/1/2001                        ","
$365,000                        "
5523002100,"
4/4/1996                        ","
$170,000                        "
7237026001,"
1/26/2021                        ","
$792,500                        "
7237026001,"
7/23/2014                        ","
$629,000                        "
7237026001,"
2/29/2008                        ","
$598,000                        "
7237026001,"
7/15/2004                        ","
$602,000                        "
6058016022,"
1/26/2021                        ","
$762,500                        "
6058016022,"
5/8/2012                        ","
$320,000                        "
6058016022,"
8/1/2011                        ","
$180,000                        "
6058016022,"
9/3/1997                        ","
$145,000                        "
4017017042,"
1/26/2021                        ","
$410,000                        "
4017017042,"
9/23/2013                        ","
$175,000                        "
4017017042,"
6/18/2010                        ","
$130,000                        "
4017017042,"
5/24/2006                        ","
$305,000                        "
8622006005,"
1/27/2021                        ","
$480,000                        "
8622006005,"
1/26/2021                        ","
$420,000                        "
8622006005,"
12/6/1999                        ","
$125,000                        "
4181018015,"
7/27/2018                        ","
$2,935,000                        "
4181018015,"
11/29/2016                        ","
$2,550,000                        "
4284012001,"
1/25/2021                        ","
$1,850,000                        "
8659026003,"
1/25/2021                        ","
$1,275,000                        "
8659026003,"
7/16/2012                        ","
$600,000                        "
8659026003,"
4/21/2011                        ","
$600,000                        "
8659026003,"
3/29/1988                        ","
$310,000                        "
6023018018,"
1/25/2021                        ","
$375,000                        "
6023018018,"
2/4/2020                        ","
$340,000                        "
6023018018,"
7/28/2003                        ","
$184,000                        "
6023018018,"
4/16/2002                        ","
$139,000                        "
6023018018,"
6/30/1988                        ","
$91,000                        "
7577002023,"
1/25/2021                        ","
$1,225,000                        "
7577002023,"
4/19/2000                        ","
$469,000                        "
2049038078,"
1/25/2021                        ","
$2,300,000                        "
2049038078,"
12/23/2004                        ","
$2,150,000                        "
2049038078,"
5/12/1998                        ","
$950,000                        "
2049038078,"
8/17/1993                        ","
$885,000                        "
4017004126,"
1/25/2021                        ","
$415,000                        "
4017004126,"
12/13/2001                        ","
$74,000                        "
